Method,RBPMean,RBPMedian,ARBPMean,ARBPMedian,RMSEMean,RMSEPMedian
E_OR,5.938243655,1.726983648,19.03457328,9.610361751,103.783022,52.89673349
M_OR,21.35688855,-0.09265475,31.95446454,7.349164707,58.42434868,34.977077
R_OR,14.96045036,-4.107660162,31.43376247,9.41436965,61.12730117,39.13823656
X_OR,13.73433741,-4.355194785,30.56576046,9.554809988,70.87606541,48.26134946
EE_NIPW,3.311938748,6.997453414,30.81522534,16.39056967,136.5657337,71.58832898
EM_NIPW,20.8895468,-0.712095082,31.31582639,7.145041126,56.94048798,33.34286964
ER_NIPW,-70.73129279,-75.7982899,70.73129279,75.7982899,76.20241792,77.1301169
EX_NIPW,-8.453991924,-24.2127726,36.83174788,24.90796903,64.12710719,47.80191235
MM_NIPW,21.50637167,-0.171855026,31.58162207,7.792351623,57.11374817,33.30163482
ME_NIPW,3.010736371,6.34437579,30.41861022,15.96583044,136.4053489,71.30479349
MR_NIPW,-70.67178151,-75.92551057,71.09331323,75.92551057,76.38605236,77.36638879
MX_NIPW,-8.845415195,-24.81779736,37.31132229,25.58146072,64.38169328,48.09353064
RR_NIPW,-71.64454036,-76.56669616,71.64454036,76.56669616,77.06187619,78.03007422
RE_NIPW,1.345172591,4.860321394,30.05934761,16.85255052,136.0372259,70.58921329
RM_NIPW,23.19090901,1.354870898,32.17171562,8.6276262,57.27137735,33.35270251
RX_NIPW,-11.34603275,-26.69009236,38.24425366,27.54676989,64.45384013,48.97613411
XX_NIPW,-12.41100726,-27.58443535,38.9133537,28.37746258,64.11357606,48.84905632
XE_NIPW,0.658978629,4.852607006,29.91470627,15.96608651,135.8332441,70.82349981
XM_NIPW,23.20020039,1.416398955,32.05372306,8.309788659,57.13265173,33.3653853
XR_NIPW,-71.62787128,-76.63762416,71.62787128,76.63762416,76.94144416,78.06836641
EEM_AIPW,21.43514128,2.412585751,32.45765421,8.230108651,57.27672606,34.15168704
EER_AIPW,-70.09155456,-75.00912753,70.156462,75.00912753,75.78020438,76.53147396
EEX_AIPW,-7.851356924,-23.13695631,36.90347681,24.32682924,64.03737082,48.09149642
EMM_AIPW,26.63719407,3.062142437,37.57577895,9.73610924,64.8515214,34.36091182
EMR_AIPW,-64.44094259,-75.04793967,75.01385199,75.20041964,83.6607998,76.90735187
EMX_AIPW,-3.194332789,-22.82427627,40.16107323,23.8086153,70.49426652,49.54277725
ERM_AIPW,27.86119092,5.585678707,37.03085461,8.927187697,63.17903628,34.63265532
ERR_AIPW,-60.02857063,-69.68367454,69.9305763,69.82977381,77.16571553,73.42214875
ERX_AIPW,-4.040196443,-22.96654944,38.69749483,23.17401457,67.11755191,48.23128821
EXM_AIPW,27.5975343,6.863420345,36.17353057,8.989375044,62.17918356,34.81111482
EXR_AIPW,-57.23770488,-67.02318127,67.23436892,67.15393739,73.71059558,70.39103136
EXX_AIPW,-4.177594336,-22.21343891,37.93771625,23.22039603,65.06924736,46.50453309
MEE_AIPW,3.189248125,7.40317618,31.17153554,15.64221609,136.7342306,71.984478
MER_AIPW,-70.51108175,-75.49842453,70.51108175,75.49842453,76.01260465,76.6829295
MEX_AIPW,-8.311044596,-25.01029644,36.95138755,25.64964896,64.0081294,48.23711933
MME_AIPW,-4.909833471,8.389209869,36.8554949,16.59003939,153.2788907,63.7348119
MMR_AIPW,-69.37024439,-74.02331661,71.59351859,74.02331661,78.36189848,75.74994388
MMX_AIPW,-8.188571321,-24.72707501,36.87277747,26.20495898,65.33248146,48.86877727
MRE_AIPW,-5.835312159,5.398120993,33.68205663,13.79311245,144.4901024,60.05580806
MRR_AIPW,-65.7632202,-70.94854629,68.61703831,70.94854629,75.75543775,72.99629496
MRX_AIPW,-9.763034236,-26.38904665,37.32167567,27.2982062,64.08270824,48.13807041
MXE_AIPW,-5.503766079,4.366316202,31.8818084,13.07754702,139.2748291,58.48709489
MXR_AIPW,-62.87864867,-68.59555815,66.79740261,68.59555815,73.73497103,70.8567378
MXX_AIPW,-9.86496978,-26.14979151,37.67782785,26.89052911,63.03198809,47.41400628
REE_AIPW,3.059178543,7.99271357,30.98082914,16.95924616,136.7366858,71.49277827
REM_AIPW,20.84940731,0.066567053,31.48860927,8.717797081,56.90118927,33.69587132
REX_AIPW,-8.436533722,-24.21685015,36.54900792,25.86671859,63.753115,47.66863838
RME_AIPW,-5.275771128,7.618790247,36.59286229,15.56334598,152.6579881,63.74883966
RMM_AIPW,21.28029452,-0.149508429,31.76870958,8.516170594,57.68094953,33.93980107
RMX_AIPW,-8.554675251,-24.56299397,36.17596188,26.70229936,64.3513226,48.37662234
RRE_AIPW,-4.733880849,6.794561793,33.99127442,13.60427946,144.2303634,60.41220308
RRM_AIPW,23.23510092,1.264606959,32.29688734,7.899279897,57.93278629,34.00369613
RRX_AIPW,-8.654551686,-24.8642014,36.41282063,26.17600122,63.15166348,47.04957873
RXE_AIPW,-4.329420685,5.636251233,32.27717664,13.08959562,139.3658105,59.10125643
RXM_AIPW,23.07236863,1.078318881,32.0053365,7.197487592,57.95612617,34.18987651
