Method,RBPMean,RBPMedian,ARBPMean,ARBPMedian,RMSEMean,RMSEPMedian
tMMR_AIPW,-45.17076337,-48.67644581,45.2469828,48.67644581,52.53165315,53.50611359
tMMX_AIPW,-40.72449435,-45.49579141,51.97079462,53.75319371,61.96534302,61.47952107
tMRE_AIPW,5.713713758,8.900238354,27.87982862,19.56547499,95.07477051,78.57275865
tMRR_AIPW,-44.14871872,-47.54405921,44.24297937,47.54405921,51.3992507,52.19610118
tMRX_AIPW,-39.40621644,-44.6599353,50.55676695,51.63125279,59.8472666,59.19774248
tMXE_AIPW,5.081155979,9.136370439,28.12732346,19.71107495,96.29269747,79.32459744
tMXR_AIPW,-44.01591873,-47.18503241,44.11782133,47.18503241,51.42422779,52.0663293
tMXX_AIPW,-39.44661712,-44.98800579,51.00322038,51.93877298,60.11773882,59.3629428
tREE_AIPW,7.53067663,8.276517331,29.60049031,18.84681652,101.0143816,78.97241529
tREM_AIPW,7.045357077,-0.83963137,18.1714899,11.21128936,33.76934299,25.65121651
tREX_AIPW,-42.80874479,-46.27623418,43.42055707,46.27623418,53.31561557,53.26799116
tRME_AIPW,7.933715055,12.26274426,29.53943343,20.59985411,98.50701526,81.72909537
tRMM_AIPW,7.392996857,-0.647062423,19.13361618,11.44685205,34.74180674,25.95124842
tRMX_AIPW,-41.21617446,-47.24166857,51.89994567,53.26069649,61.32453438,61.54234751
tRRE_AIPW,5.277697712,9.457221081,28.05571515,20.98158755,95.36954147,78.96575578
tRRM_AIPW,6.668838005,-1.469424975,18.8818998,12.15376547,34.45540512,25.81084254
tRRX_AIPW,-40.3137293,-46.7697391,50.67530489,51.47816394,59.96157906,59.71630514
tRXE_AIPW,4.559271909,9.228355644,28.2595265,20.76951014,96.29213468,79.57613749
tRXM_AIPW,6.839422113,-1.204347472,18.92140752,11.98356425,34.52074829,25.72782925
tRXX_AIPW,-39.15376712,-46.10535789,50.08157284,50.94964882,59.63733264,59.05811866
tXEE_AIPW,7.51350261,7.61274632,29.94473788,19.96177432,101.1380378,79.32095962
tXEM_AIPW,7.032944159,-1.896857146,18.31497809,11.12532798,33.99897054,26.25605143
tXER_AIPW,-45.47021669,-49.32286992,45.47021669,49.32286992,52.50972366,53.11616897
tXME_AIPW,6.559942119,4.623625265,31.91769375,26.10621009,99.60014297,84.45534848
tXMM_AIPW,6.030318441,-1.005512621,24.3890887,21.77170903,38.52591749,35.08543366
tXMR_AIPW,-46.66586258,-50.93279862,47.22729653,50.93279862,55.70566717,54.67092238
tXRE_AIPW,0.147733844,-1.328517893,30.47953748,21.21775153,96.43422908,82.63759931
tXRM_AIPW,1.320453304,-5.159492362,24.27700402,20.88180317,37.98919656,33.12115097
tXRR_AIPW,-49.48377508,-53.42337141,49.80305937,53.42337141,57.55452924,57.02353389
tXXE_AIPW,-0.435910202,-1.644868136,30.91081579,22.36259583,97.52160973,83.21135868
tXXM_AIPW,1.917852158,-4.537992548,24.26065733,20.6724749,38.16345279,33.05535505
tXXR_AIPW,-49.89210055,-53.77938635,50.2571055,53.77938635,57.97231838,57.39344349
Dir_tau,-6.176706021,-1.436865013,17.83969052,10.6173762,211.8935305,160.462446
