Method,RBPMean,RBPMedian,ARBPMean,ARBPMedian,RMSEMean,RMSEPMedian
tRR_NIPW,-50.10814923,-53.87400877,51.92873659,54.19062686,57.90427627,58.01727821
tRE_NIPW,8.858407399,2.304715679,26.44468096,15.33998009,89.47547396,67.11544064
tRM_NIPW,8.992911508,-0.684993818,18.25495962,7.618642944,31.27761854,20.83521778
tRX_NIPW,-42.85138929,-47.75161872,45.9157655,48.04881428,53.79321798,53.45931534
tXX_NIPW,-43.7182573,-48.63289285,46.58622953,48.66880179,54.27393314,53.94888683
tXE_NIPW,8.338813915,1.787705758,26.44623646,15.17514141,89.44484226,67.06812749
tXM_NIPW,8.562615271,-0.986389071,18.21217156,7.840310745,31.20976891,20.95581902
tXR_NIPW,-50.32106664,-54.1751416,52.11202252,54.49670358,58.15785184,58.29251394
tEER_AIPW,-48.04167579,-52.47721002,50.14305035,52.52249143,56.20040657,56.38712843
tEEX_AIPW,-42.12858305,-46.92324196,45.47916641,47.18835707,53.43745256,53.22722835
tEMR_AIPW,-48.73094851,-52.35999406,51.07912416,52.88195447,58.08644404,57.5234087
tEMX_AIPW,-41.92552964,-47.89931346,47.99651078,49.4460655,58.00061298,59.60157783
tERM_AIPW,11.22110604,3.366784545,19.81572851,9.500197517,33.07449357,22.33896029
tERR_AIPW,-45.39341211,-49.39781372,48.44382649,49.43413526,55.2263727,54.55760954
tERX_AIPW,-38.8523076,-44.04298018,45.40834917,48.69048592,55.45476983,56.19849033
tEXM_AIPW,11.53983143,3.878587864,19.90511174,9.635534364,33.20352964,22.24641744
tEXR_AIPW,-47.9178819,-51.59633942,50.58528378,52.12546398,57.1878559,56.70269443
tEXX_AIPW,-39.8294322,-44.62427975,46.27844547,49.4200951,56.05439249,56.66866531
tMER_AIPW,-48.31500025,-52.97958738,50.36153364,53.21095986,56.39453082,56.82148718
tMEX_AIPW,-41.72155777,-46.78566868,45.13931999,47.25836088,53.3032121,53.06213133
tMMR_AIPW,-48.56682055,-52.91442194,50.41605993,52.91442194,56.79328241,56.98224999
tMMX_AIPW,-41.90518144,-47.02013168,48.465167,48.28982843,57.26086708,58.2672923
tMRE_AIPW,10.74021916,6.59329344,27.75382747,18.62905867,88.97888819,63.18466608
tMRR_AIPW,-45.83070277,-50.64743755,48.29717965,50.90587439,54.38109201,54.69667182
tMRX_AIPW,-39.704996,-44.06087737,46.37767816,49.1817935,54.97952075,56.40236012
tMXE_AIPW,11.03616005,6.805750622,28.33578252,19.24675902,91.03097539,64.83273788
tMXR_AIPW,-46.48137056,-51.29361544,48.89884547,51.64825135,55.09393587,55.42133301
tMXX_AIPW,-39.70239308,-43.63796796,46.56920029,50.36725397,55.6257311,56.69933427
tREE_AIPW,11.75319925,5.211167138,26.88021695,14.99046839,89.65804615,66.92755974
tREM_AIPW,11.3016284,2.216656775,18.85341093,7.612359439,31.77636209,20.67044766
tREX_AIPW,-42.35692663,-47.50660672,45.48050948,47.6333839,53.31738646,52.91999008
tRME_AIPW,11.40587653,7.368941921,28.40989847,19.57922105,92.25395461,65.99823218
tRMM_AIPW,11.23882702,1.946370526,19.26060991,8.002603599,32.03426913,21.02618778
tRMX_AIPW,-41.84207032,-48.19124063,47.63296691,49.48076002,56.40964119,58.30686175
tRRE_AIPW,10.02769795,5.751518111,27.40338555,18.44939411,88.83317753,63.17083257
tRRM_AIPW,10.32145978,1.126725004,18.98704598,8.145675378,31.70505635,20.84923786
tRRX_AIPW,-39.91446062,-45.77793508,45.95923644,48.33266376,54.53362437,56.37746044
tRXE_AIPW,10.09873568,6.217601229,27.90814404,18.70085141,90.77413918,64.85427017
tRXM_AIPW,10.484961,1.076700458,19.01803341,8.265184784,31.80738344,20.94433319
tRXX_AIPW,-41.54066991,-46.79669817,47.31194358,48.99919271,56.08150199,58.15376136
tXEE_AIPW,11.62548649,4.585244862,26.72688548,14.79631103,89.63815645,66.88033865
tXEM_AIPW,11.17365761,1.350969758,18.69895553,7.438743339,32.07210946,21.06393661
tXER_AIPW,-47.85856715,-51.98574904,49.90565929,52.06302784,56.18516518,56.15084481
tXME_AIPW,11.82023394,0.920814449,32.55911681,20.59737223,94.91678211,71.81560634
tXMM_AIPW,11.65908145,2.911762044,28.64465934,20.04445265,39.17745431,29.82282558
tXMR_AIPW,-48.13404539,-49.57625448,55.64580603,50.44055114,62.52520953,55.42153999
tXRE_AIPW,6.899505483,-3.325055196,31.62052185,20.0551542,91.51831847,68.4492605
tXRM_AIPW,7.297391679,-1.138325511,27.24799026,20.05612322,38.0212792,29.22827445
tXRR_AIPW,-49.89752094,-51.5184415,56.92401863,52.24654297,63.03324859,56.3187281
tXXE_AIPW,8.782404788,-1.368186167,32.2037281,20.52926697,93.63758369,70.46630368
tXXM_AIPW,9.166442339,0.697180626,27.80601756,19.67468828,38.46672276,29.85117213
tXXR_AIPW,-49.29979939,-51.23737877,56.58205448,51.36173188,63.12499558,56.70148699
Dir_tau,2.794839929,-1.351805393,18.4753615,12.95150396,202.7923298,166.9730509
