"Method","RBPMean","RBPMedian","ARBPMean","ARBPMedian","RMSEMean","RMSEPMedian"
"E_OR",5.93824365499411,1.72698364832351,19.0345732765983,9.61036175149056,103.783022002479,52.8967334890428
"M_OR",21.3568885541102,-0.0926547498586409,31.9544645361549,7.3491647072127,58.4243486842484,34.9770770020511
"R_OR",14.9604503576754,-4.10766016190473,31.4337624697362,9.4143696497246,61.1273011678908,39.1382365613007
"X_OR",13.7343374126644,-4.35519478532864,30.5657604602265,9.55480998843017,70.8760654084511,48.2613494552457
"EE_NIPW",3.31193874801032,6.99745341356743,30.8152253354568,16.3905696677513,136.56573374113,71.588328979969
"EM_NIPW",20.8895468041608,-0.712095081999263,31.3158263914535,7.1450411264205,56.9404879848555,33.3428696389307
"ER_NIPW",-70.731292786349,-75.798289901341,70.731292786349,75.798289901341,76.2024179168295,77.1301169023859
"EX_NIPW",-8.45399192357502,-24.2127725962833,36.8317478833959,24.9079690326001,64.1271071871916,47.8019123462607
"MM_NIPW",21.5063716740352,-0.171855025745666,31.5816220743199,7.79235162300047,57.1137481693596,33.3016348224182
"ME_NIPW",3.01073637121862,6.34437579023012,30.4186102205454,15.9658304365465,136.405348857644,71.30479348635
"MR_NIPW",-70.6717815131634,-75.9255105731494,71.0933132332583,75.9255105731494,76.3860523559929,77.3663887930618
"MX_NIPW",-8.84541519459202,-24.8177973647022,37.3113222857838,25.5814607247617,64.3816932790464,48.0935306429967
"RR_NIPW",-71.6445403583899,-76.5666961610474,71.6445403583899,76.5666961610474,77.0618761884654,78.0300742192846
"RE_NIPW",1.34517259134609,4.86032139417637,30.059347606563,16.8525505169412,136.037225915928,70.5892132895758
"RM_NIPW",23.190909013033,1.35487089785034,32.171715620971,8.62762620011543,57.271377350594,33.3527025071039
"RX_NIPW",-11.346032748793,-26.6900923615831,38.2442536563911,27.5467698883485,64.4538401301541,48.9761341069764
"XX_NIPW",-12.4110072578668,-27.5844353454255,38.9133536969888,28.3774625785558,64.1135760600261,48.8490563153669
"XE_NIPW",0.658978628915358,4.85260700645175,29.9147062748585,15.9660865121614,135.833244128638,70.823499808723
"XM_NIPW",23.2002003896224,1.41639895539953,32.0537230641819,8.30978865861844,57.1326517262758,33.3653853020823
